dataset_id,dataset_name,dataset_source,suite,task,framework,seed,time_budget_s,n_train,n_test,n_features_before,n_features_after,n_added,score_holdout,scorer_name,scorer_greater_is_better,score_nofe_same_seed,pct_improvement,wall_time_fit,wall_time_transform,wall_time_total,peak_rss_mb,n_boost_rounds,status,error_msg,adapter_version,internal_log_json
361618,forest_fires,openml_task,smoke_test,regression,tabularaml,2,1200,413,104,12,24,12,35.09722204953275,rmse,False,39.45767966579137,0.11050973228005095,67.47577786445618,0.019048452377319336,71.65517568588257,351.5859375,1,ok,,0.2.0,"{""mode"": ""medium"", ""elapsed_time"": 66.88525485992432, ""n_init_feats"": 12, ""n_added_feats"": 12, ""initial_metric"": null, ""final_metric"": 62.72077538287751, ""pct_gain"": 0.04809307334446898}"
361618,forest_fires,openml_task,smoke_test,regression,tabularaml,1,1200,413,104,12,23,11,76.44284583900195,rmse,False,76.5361279964511,0.0012187990154594454,84.55065608024597,0.024109840393066406,87.00095629692078,354.3828125,3,ok,,0.2.0,"{""mode"": ""medium"", ""elapsed_time"": 83.73251748085022, ""n_init_feats"": 12, ""n_added_feats"": 11, ""initial_metric"": null, ""final_metric"": 52.73800827420289, ""pct_gain"": 0.04810335039249479}"
361618,forest_fires,openml_task,smoke_test,regression,tabularaml,0,1200,413,104,12,20,8,110.63723267227738,rmse,False,110.71788633302435,0.0007284609869120873,87.71465516090393,0.014539241790771484,90.58980393409729,348.625,2000,ok,,0.2.0,"{""mode"": ""medium"", ""elapsed_time"": 87.53438425064087, ""n_init_feats"": 12, ""n_added_feats"": 8, ""initial_metric"": null, ""final_metric"": 35.71789455506631, ""pct_gain"": 0.0606084042988418}"
breast_cancer,breast-cancer,pmlb,smoke_test,classification,tabularaml,4,1200,228,58,9,15,6,0.7101865136298421,binary_roc_auc,True,0.7166427546628407,-0.009009009009009028,102.2295434474945,0.018361568450927734,108.89155316352844,334.1640625,22,ok,,0.2.0,"{""mode"": ""medium"", ""elapsed_time"": 99.93100452423096, ""n_init_feats"": 9, ""n_added_feats"": 6, ""initial_metric"": null, ""final_metric"": 0.7179929266136162, ""pct_gain"": 0.115398575592621}"
23,cmc,openml_task,smoke_test,multiclass,tabularaml,2,1200,1178,295,9,13,4,0.9451007910199084,categorical_crossentropy,False,0.9421315007038036,-0.0031516728969222065,282.4158980846405,0.01634359359741211,284.62639260292053,360.5703125,41,ok,,0.2.0,"{""mode"": ""medium"", ""elapsed_time"": 281.6262114048004, ""n_init_feats"": 9, ""n_added_feats"": 4, ""initial_metric"": null, ""final_metric"": 1.0096292657638188, ""pct_gain"": 0.016734430828939908}"
23,cmc,openml_task,smoke_test,multiclass,autofeat,0,1200,1178,295,9,16,7,0.8876735656443289,categorical_crossentropy,False,0.8782893031582995,-0.010684705429388604,297.4288954734802,0.023037433624267578,304.47973680496216,541.51953125,33,ok,,upstream-2.1.x,{}
23,cmc,openml_task,smoke_test,multiclass,autofeat,2,1200,1178,295,9,20,11,0.945501207345623,categorical_crossentropy,False,0.9421315007038036,-0.0035766839759653253,314.46200251579285,0.025980234146118164,320.2302737236023,547.08203125,36,ok,,upstream-2.1.x,{}
23,cmc,openml_task,smoke_test,multiclass,autofeat,3,1200,1178,295,9,19,10,0.9128280982627707,categorical_crossentropy,False,0.906591512843714,-0.006879157074275204,315.30712699890137,0.026093006134033203,317.81031489372253,546.2890625,36,ok,,upstream-2.1.x,{}
23,cmc,openml_task,smoke_test,multiclass,autofeat,4,1200,1178,295,9,16,7,0.9349482496663676,categorical_crossentropy,False,0.9537930679775901,0.019757763967797364,337.65901231765747,0.020569801330566406,339.800044298172,540.828125,43,ok,,upstream-2.1.x,{}
23,cmc,openml_task,smoke_test,multiclass,autofeat,1,1200,1178,295,9,18,9,0.9081049358440658,categorical_crossentropy,False,0.9272280438471648,0.020623953438417664,347.0155944824219,0.023754358291625977,351.32301235198975,542.2734375,20,ok,,upstream-2.1.x,{}
23,cmc,openml_task,smoke_test,multiclass,tabularaml,1,1200,1178,295,9,10,1,0.9231304678371397,categorical_crossentropy,False,0.9272280438471648,0.0044191674714926365,350.65671730041504,0.011537790298461914,355.92549180984497,359.35546875,24,ok,,0.2.0,"{""mode"": ""medium"", ""elapsed_time"": 349.91954231262207, ""n_init_feats"": 9, ""n_added_feats"": 1, ""initial_metric"": null, ""final_metric"": 1.0333901209695007, ""pct_gain"": 0.019024155199856257}"
